DATE,TIME_M,SYM_ROOT,SYM_SUFFIX,SIZE,PRICE
20181101,9:34:47.789514000,AIG,,115,43.45
20181101,9:34:47.789546000,AIG,,85,43.45
20181101,9:34:47.789694000,AIG,,100,43.45
20181101,9:34:47.797163000,AIG,,100,43.45
20181101,9:34:47.803115000,AIG,,100,43.51
20181101,9:34:47.805106000,AIG,,60,43.49
20181101,9:34:47.822114000,AIG,,20,43.49
20181101,9:34:47.822138000,AIG,,20,43.49
20181101,9:34:47.828804000,AIG,,100,43.5
20181101,9:34:47.923758000,AIG,,100,43.5
20181101,9:34:47.987042000,AIG,,100,43.455
20181101,9:34:48.855078000,AIG,,50,43.42
20181101,9:34:48.855121000,AIG,,50,43.41
20181101,9:34:48.855539000,AIG,,300,43.41
20181101,9:34:48.855560000,AIG,,100,43.41
20181101,9:34:48.855581000,AIG,,100,43.41
20181101,9:34:48.855599000,AIG,,100,43.42
20181101,9:34:48.941205000,AIG,,300,43.44
20181101,9:34:49.001741000,AIG,,100,43.41
20181101,9:34:49.040159000,AIG,,100,43.41
20181101,9:34:49.040188000,AIG,,200,43.41
20181101,9:34:49.040224000,AIG,,200,43.41
20181101,9:34:49.040276000,AIG,,100,43.4
20181101,9:34:49.040298000,AIG,,100,43.41
20181101,9:34:49.184849000,AIG,,100,43.3
20181101,9:34:49.187390000,AIG,,100,43.305
20181101,9:34:49.448445000,AIG,,100,43.3
20181101,9:34:49.450473000,AIG,,100,43.3
20181101,9:34:49.452637000,AIG,,100,43.3
20181101,9:34:49.746783000,AIG,,50,43.3201
20181101,9:34:49.855606000,AIG,,100,43.3
20181101,9:34:49.855902000,AIG,,600,43.3
20181101,9:34:49.855988000,AIG,,482,43.3
20181101,9:34:49.856383000,AIG,,200,43.3
20181101,9:34:49.856505000,AIG,,100,43.3
20181101,9:34:49.856742000,AIG,,140,43.3
20181101,9:34:49.875624000,AIG,,150,43.35
20181101,9:34:50.539887000,AIG,,100,43.35
20181101,9:34:50.539992000,AIG,,100,43.35
20181101,9:34:50.540120000,AIG,,100,43.35
20181101,9:34:52.555240000,AIG,,90,43.4
20181101,9:34:52.555509000,AIG,,10,43.37
20181101,9:34:52.592026000,AIG,,100,43.3
20181101,9:34:52.855349000,AIG,,100,43.3
20181101,9:34:52.855702000,AIG,,300,43.3
20181101,9:34:53.467289000,AIG,,100,43.3
20181101,9:34:53.467345000,AIG,,4700,43.3
20181101,9:34:53.467362000,AIG,,100,43.3
20181101,9:34:53.467401000,AIG,,100,43.3
20181101,9:34:53.467429000,AIG,,100,43.3
20181101,9:34:53.467446000,AIG,,3478,43.3
20181101,9:34:53.467499000,AIG,,100,43.3
20181101,9:34:53.467587000,AIG,,100,43.3
20181101,9:34:53.467627000,AIG,,100,43.3
20181101,9:34:53.467664000,AIG,,100,43.3
20181101,9:34:53.467684000,AIG,,100,43.3
20181101,9:34:53.467713000,AIG,,100,43.3
20181101,9:34:53.467733000,AIG,,100,43.3
20181101,9:34:53.467754000,AIG,,100,43.3
20181101,9:34:53.467779000,AIG,,100,43.3
20181101,9:34:53.467795000,AIG,,100,43.3
20181101,9:34:53.467811000,AIG,,100,43.3
20181101,9:34:53.467837000,AIG,,100,43.3
20181101,9:34:53.467871000,AIG,,100,43.3
20181101,9:34:53.467899000,AIG,,200,43.3
20181101,9:34:53.467926000,AIG,,100,43.3
20181101,9:34:53.467946000,AIG,,100,43.3
20181101,9:34:53.467964000,AIG,,100,43.3
20181101,9:34:53.467983000,AIG,,5,43.3
20181101,9:34:53.468003000,AIG,,100,43.3
20181101,9:34:53.468023000,AIG,,95,43.3
20181101,9:34:53.468040000,AIG,,100,43.3
20181101,9:34:53.468058000,AIG,,5,43.3
20181101,9:34:53.468077000,AIG,,100,43.3
20181101,9:34:53.468096000,AIG,,100,43.3
20181101,9:34:53.468122000,AIG,,100,43.3
20181101,9:34:53.468146000,AIG,,100,43.3
20181101,9:34:53.468356000,AIG,,100,43.3
20181101,9:34:53.468387000,AIG,,100,43.31
20181101,9:34:53.468404000,AIG,,100,43.3
20181101,9:34:53.468434000,AIG,,100,43.31
20181101,9:34:53.468655000,AIG,,100,43.33
20181101,9:34:53.469139000,AIG,,33,43.37
20181101,9:34:53.469820000,AIG,,100,43.33
20181101,9:34:53.469922000,AIG,,10,43.32
20181101,9:34:53.469957000,AIG,,10,43.32
20181101,9:34:53.469973000,AIG,,10,43.32
20181101,9:34:53.470541000,AIG,,10,43.33
20181101,9:34:53.470578000,AIG,,5,43.33
20181101,9:34:53.470609000,AIG,,5,43.33
20181101,9:34:53.470640000,AIG,,10,43.33
20181101,9:34:53.471008000,AIG,,200,43.32
20181101,9:34:53.471043000,AIG,,100,43.32
20181101,9:34:53.490355000,AIG,,100,43.31
20181101,9:34:53.800916000,AIG,,95,43.3
20181101,9:34:53.800935000,AIG,,5,43.3
20181101,9:34:53.801131000,AIG,,95,43.3
20181101,9:34:53.801162000,AIG,,100,43.3
20181101,9:34:53.801345000,AIG,,100,43.3
20181101,9:34:53.802094000,AIG,,100,43.3
20181101,9:34:53.802463000,AIG,,100,43.3
20181101,9:34:53.836396000,AIG,,100,43.3
20181101,9:34:53.836802000,AIG,,100,43.3
20181101,9:34:53.852569000,AIG,,100,43.3
20181101,9:34:53.853576000,AIG,,100,43.3
20181101,9:34:53.856930000,AIG,,100,43.3
20181101,9:34:53.857082000,AIG,,100,43.3
20181101,9:34:53.857719000,AIG,,100,43.3
20181101,9:34:53.857755000,AIG,,100,43.3
20181101,9:34:53.862844000,AIG,,100,43.3
20181101,9:34:53.863552000,AIG,,100,43.3
20181101,9:34:53.909798000,AIG,,100,43.3
20181101,9:34:53.926760000,AIG,,100,43.3
20181101,9:34:53.958112000,AIG,,100,43.23
20181101,9:34:53.969274000,AIG,,100,43.24
20181101,9:34:54.163862000,AIG,,100,43.215
20181101,9:34:54.271652000,AIG,,100,43.22
20181101,9:34:54.418580000,AIG,,100,43.215
20181101,9:34:54.540344000,AIG,,100,43.22
20181101,9:34:54.682109000,AIG,,100,43.21
20181101,9:34:54.808956000,AIG,,100,43.22
20181101,9:34:54.809454000,AIG,,100,43.22
20181101,9:34:54.856307000,AIG,,600,43.21
20181101,9:34:54.871447000,AIG,,3,43.2999
20181101,9:34:54.898702000,AIG,,100,43.255
20181101,9:34:54.898718000,AIG,,100,43.255
20181101,9:34:54.950635000,AIG,,100,43.26
20181101,9:34:55.010469000,AIG,,100,43.26
20181101,9:34:55.428583000,AIG,,300,43.21
20181101,9:34:55.429087000,AIG,,100,43.23
20181101,9:34:55.857195000,AIG,,110,43.21
20181101,9:34:55.857358000,AIG,,100,43.23
20181101,9:34:55.857392000,AIG,,90,43.21
20181101,9:34:55.857410000,AIG,,10,43.21
20181101,9:34:55.857512000,AIG,,46,43.23
20181101,9:34:57.057322000,AIG,,300,43.235
20181101,9:34:57.067147000,AIG,,200,43.21
20181101,9:34:57.067456000,AIG,,200,43.21
20181101,9:34:58.858912000,AIG,,100,43.21
20181101,9:34:58.859011000,AIG,,300,43.21
20181101,9:34:58.859357000,AIG,,100,43.21
20181101,9:34:58.859380000,AIG,,100,43.21
20181101,9:34:58.859912000,AIG,,100,43.21
20181101,9:34:58.859963000,AIG,,100,43.21
20181101,9:34:58.859990000,AIG,,100,43.22
20181101,9:34:58.860018000,AIG,,200,43.26
20181101,9:34:58.860099000,AIG,,100,43.21
20181101,9:34:58.860147000,AIG,,100,43.22
20181101,9:34:58.860485000,AIG,,10,43.24
20181101,9:34:58.860533000,AIG,,10,43.24
20181101,9:34:58.860547000,AIG,,10,43.24
20181101,9:34:58.860566000,AIG,,10,43.24
20181101,9:34:58.860630000,AIG,,100,43.24
20181101,9:34:58.933043000,AIG,,100,43.21
20181101,9:34:59.060855000,AIG,,700,43.26
20181101,9:34:59.172118000,AIG,,100,43.21
20181101,9:34:59.194992000,AIG,,200,43.235
20181101,9:34:59.196068000,AIG,,100,43.235
20181101,9:34:59.196138000,AIG,,100,43.235
20181101,9:34:59.196173000,AIG,,600,43.235
20181101,9:34:59.801877000,AIG,,100,43.21
20181101,9:34:59.801944000,AIG,,10,43.21
20181101,9:34:59.801971000,AIG,,10,43.21
20181101,9:34:59.801999000,AIG,,10,43.21
20181101,9:34:59.802017000,AIG,,10,43.21
20181101,9:34:59.930767000,AIG,,100,43.19
20181101,9:34:59.931276000,AIG,,200,43.19
20181101,9:35:00.067530000,AIG,,100,43.19
20181101,9:35:00.282710000,AIG,,24,43.19
20181101,9:35:00.369384000,AIG,,1,43.18
20181101,9:35:00.369525000,AIG,,299,43.18
20181101,9:35:00.369555000,AIG,,100,43.18
20181101,9:35:00.369738000,AIG,,29,43.18
20181101,9:35:00.372827000,AIG,,100,43.18
20181101,9:35:00.374449000,AIG,,100,43.17
20181101,9:35:00.375095000,AIG,,100,43.15
20181101,9:35:00.376084000,AIG,,100,43.19
20181101,9:35:00.378676000,AIG,,100,43.18
20181101,9:35:00.727259000,AIG,,100,43.14
20181101,9:35:00.760408000,AIG,,100,43.2
20181101,9:35:00.760539000,AIG,,200,43.21
20181101,9:35:00.760581000,AIG,,100,43.21
20181101,9:35:00.760701000,AIG,,100,43.21
